"","Characteristic","Category","Coefficient - Bivariate","SE - Bivariate","LB - Bivariate","UB - Bivariate","Coefficient - Adjusted","SE - Adjusted","LB - Adjusted","UB - Adjusted"
"1","age","65 to 74","1.0000000","1.000000","","","1.0000000","1.000000","",""
"2","age","75 to 84","0.6496378","1.770088","0.2068608"," 2.040160","0.5365026","1.771292","0.1706032"," 1.687161"
"3","age","85 +","0.5491332","1.676072","0.1950675"," 1.545861","0.4389179","1.643794","0.1621122"," 1.188368"
"4","sex","male","1.0000000","1.000000","","","1.0000000","1.000000","",""
"5","sex","female","1.5075350","1.376489","0.7946225"," 2.860052","1.5046793","1.409124","0.7567340"," 2.991883"
"6","race","white, non-hispanic","1.0000000","1.000000","","","1.0000000","1.000000","",""
"7","race","black, non-hispanic","0.8625441","1.483596","0.3912523"," 1.901541","0.9934042","1.650341","0.3639977"," 2.711149"
"8","race","hispanic","0.7721853","1.780525","0.2430032"," 2.453754","1.0687439","1.925863","0.2873899"," 3.974438"
"9","race","other","3.9114369","1.982154","0.9927950","15.410370","2.2775524","1.765537","0.7289811"," 7.115747"
"10","educ","below high school","1.0000000","1.000000","","","1.0000000","1.000000","",""
"11","educ","high school","1.3143587","1.655775","0.4784377"," 3.610792","1.2135483","1.626040","0.4580793"," 3.214944"
"12","educ","beyond high school","0.7780734","1.612165","0.2987877"," 2.026182","0.6769660","1.568711","0.2745935"," 1.668950"
"13","marital","married or living with partner","1.0000000","1.000000","","","1.0000000","1.000000","",""
"14","marital","separated, divorced, widowed, never married","1.1877353","1.477845","0.5429702"," 2.598145","1.1064555","1.559084","0.4543756"," 2.694343"
"15","medicaid","does not have medicaid","1.0000000","1.000000","","","1.0000000","1.000000","",""
"16","medicaid","has medicaid","1.1142788","1.564882","0.4541970"," 2.733654","0.9545500","1.465300","0.4438891"," 2.052687"
"17","chronic","0-1","1.0000000","1.000000","","","1.0000000","1.000000","",""
"18","chronic","2-3","0.6292186","1.524390","0.2703142"," 1.464651","0.4746200","1.539072","0.2000188"," 1.126215"
"19","chronic",">3","1.2927648","1.582335","0.5153666"," 3.242819","0.7299357","1.633616","0.2729749"," 1.951850"
"20","regularmeds","less than 6","1.0000000","1.000000","","","1.0000000","1.000000","",""
"21","regularmeds","6 or more","2.8792399","1.424262","1.4173493"," 5.848962","3.5250632","1.529137","1.5049715"," 8.256682"
"22","health","excellent/very good","1.0000000","1.000000","","","1.0000000","1.000000","",""
"23","health","good","2.4485144","1.639851","0.9087090"," 6.597517","2.1766506","1.615042","0.8328733"," 5.688510"
"24","health","fair/poor","5.7034257","1.599303","2.2256115","14.615787","5.2537885","1.643690","1.9407074","14.222801"
"25","dementia","possible dementia","1.0000000","1.000000","","","1.0000000","1.000000","",""
"26","dementia","probable dementia","0.6495815","1.472415","0.2991529"," 1.410503","0.7131695","1.446138","0.3405066"," 1.493688"
"27","diagnosis","no dementia diagnosis","1.0000000","1.000000","","","1.0000000","1.000000","",""
"28","diagnosis","dementia diagnosed","0.9399655","1.511038","0.4109944"," 2.149750","0.9096966","1.507553","0.3996044"," 2.070918"
"29","hospitalized","not hospitalized","1.0000000","1.000000","","","1.0000000","1.000000","",""
"30","hospitalized","hospitalized","1.7190002","1.425137","0.8451631"," 3.496321","1.4494054","1.440819","0.6971553"," 3.013355"
"31","doctor","did not see doctor","1.0000000","1.000000","","","1.0000000","1.000000","",""
"32","doctor","seen doctor","1.4268693","1.637594","0.5310132"," 3.834097","1.1643126","2.033001","0.2808975"," 4.826044"
"33","adls","<2","1.0000000","1.000000","","","1.0000000","1.000000","",""
"34","adls",">=2","0.9621763","1.698633","0.3327553"," 2.782174","1.0215096","1.658313","0.3706988"," 2.814905"
"35","medicationsiadl","no difficulty","1.0000000","1.000000","","","1.0000000","1.000000","",""
"36","medicationsiadl","difficulty","1.4926919","1.475716","0.6843544"," 3.255811","1.7247026","1.509655","0.7555013"," 3.937252"
"37","fall","no falls","1.0000000","1.000000","","","1.0000000","1.000000","",""
"38","fall","fallen","0.7805199","1.578188","0.3127987"," 1.947614","0.8917512","1.633009","0.3337377"," 2.382770"
