"","Characteristic","Category","Coefficient - Bivariate","SE - Bivariate","LB - Bivariate","UB - Bivariate","Coefficient - Adjusted","SE - Adjusted","LB - Adjusted","UB - Adjusted"
"1","age","65 to 74","1.0000000","1.000000","","","1.00000000","1.000000","",""
"2","age","75 to 84","0.6117958","1.731273","0.20366257","1.8378151","0.87632732","1.966334","0.22602882","3.3975737"
"3","age","85 +","0.5063250","1.521294","0.21840668","1.1737966","0.66857834","1.736094","0.22132824","2.0196112"
"4","sex","male","1.0000000","1.000000","","","1.00000000","1.000000","",""
"5","sex","female","1.5933091","1.342417","0.88309561","2.8746987","1.74151228","1.404749","0.88131632","3.4412900"
"6","race","white, non-hispanic","1.0000000","1.000000","","","1.00000000","1.000000","",""
"7","race","black, non-hispanic","1.3623519","1.369191","0.72578684","2.5572284","0.68091329","1.558632","0.27978531","1.6571381"
"8","race","hispanic","0.9407379","1.697168","0.32590410","2.7154854","0.49759448","1.974069","0.12733750","1.9444410"
"9","race","other","0.4527975","2.099613","0.10240529","2.0020996","0.29401148","2.174559","0.06198081","1.3946696"
"10","educ","below high school","1.0000000","1.000000","","","1.00000000","1.000000","",""
"11","educ","high school","1.3096780","1.459325","0.61404021","2.7933944","2.34862790","1.654927","0.85579852","6.4455042"
"12","educ","beyond high school","0.9289749","1.349384","0.50957318","1.6935632","1.14314086","1.405298","0.57804968","2.2606552"
"13","marital","married or living with partner","1.0000000","1.000000","","","1.00000000","1.000000","",""
"14","marital","separated, divorced, widowed, never married","0.8548183","1.418098","0.42447086","1.7214711","0.66086054","1.418295","0.32806717","1.3312416"
"15","medicaid","does not have medicaid","1.0000000","1.000000","","","1.00000000","1.000000","",""
"16","medicaid","has medicaid","0.8421470","1.333006","0.47338952","1.4981565","0.56034402","1.399221","0.28581977","1.0985434"
"17","chronic","0-1","1.0000000","1.000000","","","1.00000000","1.000000","",""
"18","chronic","2-3","0.6605168","1.456877","0.31072546","1.4040767","0.97384809","1.447054","0.46437901","2.0422545"
"19","chronic",">3","0.6544489","1.607954","0.25263536","1.6953419","1.32273798","1.656532","0.48104719","3.6371396"
"20","regularmeds","less than 6","1.0000000","1.000000","","","1.00000000","1.000000","",""
"21","regularmeds","6 or more","0.1007847","1.399775","0.05136735","0.1977435","0.09508446","1.454107","0.04490131","0.2013539"
"22","health","excellent/very good","1.0000000","1.000000","","","1.00000000","1.000000","",""
"23","health","good","0.9317519","1.449943","0.44253292","1.9618012","1.03231050","1.625993","0.38969001","2.7346479"
"24","health","fair/poor","0.6026251","1.380962","0.31558522","1.1507414","0.86438654","1.347855","0.47522249","1.5722406"
"25","dementia","possible dementia","1.0000000","1.000000","","","1.00000000","1.000000","",""
"26","dementia","probable dementia","1.3261124","1.321456","0.75855217","2.3183297","1.35311229","1.371664","0.71826255","2.5490858"
"27","diagnosis","no dementia diagnosis","1.0000000","1.000000","","","1.00000000","1.000000","",""
"28","diagnosis","dementia diagnosed","0.9120148","1.434362","0.44263988","1.8791144","1.41451313","1.590469","0.55813789","3.5848622"
"29","hospitalized","not hospitalized","1.0000000","1.000000","","","1.00000000","1.000000","",""
"30","hospitalized","hospitalized","0.5506096","1.397295","0.28163052","1.0764846","0.82677212","1.504563","0.36462586","1.8746672"
"31","doctor","did not see doctor","1.0000000","1.000000","","","1.00000000","1.000000","",""
"32","doctor","seen doctor","0.4863745","1.725816","0.16293836","1.4518381","0.77752357","1.877356","0.22004624","2.7473449"
"33","adls","<2","1.0000000","1.000000","","","1.00000000","1.000000","",""
"34","adls",">=2","0.4684627","1.544315","0.19608300","1.1192061","0.48715615","1.581800","0.19433869","1.2211728"
"35","medicationsiadl","no difficulty","1.0000000","1.000000","","","1.00000000","1.000000","",""
"36","medicationsiadl","difficulty","0.3473417","1.423347","0.17120453","0.7046910","0.42428990","1.419508","0.21026717","0.8561580"
"37","fall","no falls","1.0000000","1.000000","","","1.00000000","1.000000","",""
"38","fall","fallen","0.4755789","1.436193","0.23022940","0.9823908","0.55075167","1.426437","0.27028810","1.1222373"
