"Covariate","Unweighted Respondents, No.","National Estimate, (%)","Weighted Respondents, Dec.","Weighted Respondents, No."
"Age","","","",""
"65 to 74","48.0","26%","83.2","83"
"75 to 84","137.0","42%","134.4","134"
"85 +","135.0","33%","105.6","106"
"Sex","","","",""
"Male","128","41%","131.2","131"
"Female","192","59%","188.8","189"
"Race/Ethnicity","","","",""
"White, Non-Hispanic","180.0","69%","220.8","221"
"Black, Non-Hispanic","97.0","15%","48","48"
"Hispanic","22.0","7%","22.4","22"
"Other","15.0","9%","28.8","29"
"Education","","","",""
"Below High School","125","35%","112","112"
"High School","80","26%","83.2","83"
"Beyond High School","115","39%","124.8","125"
"Marital Status","","","",""
"Married Or Living With Partner","107","37%","118.4","118"
"Separated, Divorced, Widowed, Never Married","213","63%","201.6","202"
"Medicaid","","","",""
"Does Not Have Medicaid","219","75%","240","240"
"Has Medicaid","82","25%","80","80"
"Chronic Conditions","","","",""
"0-1","74","27%","86.4","86"
"2-3","147","44%","140.8","141"
">3","99","29%","92.8","93"
"Regular Medications","","","",""
"Less Than 6","146","48%","153.6","154"
"6 Or More","160","52%","166.4","166"
"Self-Rated Health","","","",""
"Excellent/Very Good","101.0","34%","108.8","109"
"Good","99.0","33%","105.6","106"
"Fair/Poor","119.0","34%","108.8","109"
"Dementia Classification","","","",""
"Possible Dementia","174","57%","182.4","182"
"Probable Dementia","146","43%","137.6","138"
"Reported Dementia Diagnosis","","","",""
"No Dementia Diagnosis","243","77%","246.4","246"
"Dementia Diagnosed","77","23%","73.6","74"
"Hospitalized in Past Year","","","",""
"Not Hospitalized","225","71%","227.2","227"
"Hospitalized in Past Year","94","29%","92.8","93"
"Seen Regular Doctor in Past Year","","","",""
"Did Not See Doctor","33","11%","35.2","35"
"Seen Doctor","286","89%","284.8","285"
"ADL Difficulties","","","",""
"<2","269","84%","268.8","269"
">=2","51","16%","51.2","51"
"Difficulty Tracking Medications","","","",""
"No Difficulty","131","48%","153.6","154"
"Difficulty","160","52%","166.4","166"
"Fall in Past Month","","","",""
"No Falls","266","85%","272","272"
"Fallen","54","15%","48","48"
