"","Believe Taking One or More Medication No Longer Needed","","","","","Willing To Deprescribe If Doctor Said Possible","","","","","Uncomfortable Taking 5 Or More Pills","","","",""
"Characteristic","Unweighted","Weighted","MICE Adjusted","Group P-Value","Group Significance","Unweighted","Weighted","MICE Adjusted","Group P-Value","Group Significance","Unweighted","Weighted","MICE Adjusted","Group P-Value","Group Significance"
"Age","",""," ","0.249776976424517","","",""," ","0.227979044075326","","",""," ","0.593612163063633",""
"65 to 74","11/40","30%","31% (16%, 51%)","","","30/41","84%","87% (74%, 94%)","","","23/39","64%","59% (34%, 81%)","",""
"75 to 84","28/129","22%","19% (12%, 30%)","","","119/131","93%","95% (88%, 98%)","","","66/128","52%","56% (43%, 69%)","",""
"85 +","24/122","19%","16% (11%, 24%)","","","109/126","88%","90% (82%, 95%)","","","57/117","47%","49% (38%, 60%)","",""
"Sex","",""," ","0.238649212618495","","",""," ","0.127991218746107","","",""," ","0.108328005871987",""
"Male","25/116","18%","17% (10%, 25%)","","","106/120","92%","95% (87%, 98%)","","","49/114","47%","47% (34%, 59%)","",""
"Female","38/175","25%","23% (16%, 32%)","","","152/178","87%","89% (84%, 93%)","","","97/170","58%","60% (51%, 69%)","",""
"Race/Ethnicity/Ethnicity","",""," ","0.510453467080483","","",""," ","0.0090027190689276","*","",""," ","0.330232933309937",""
"White, Non-Hispanic","34/164","21%","19% (13%, 28%)","","","154/167","93%","95% (89%, 97%)","","","78/161","54%","60% (50%, 70%)","",""
"Black, Non-Hispanic","20/90","20%","19% (10%, 34%)","","","73/93","75%","82% (70%, 90%)","","","54/87","61%","51% (34%, 67%)","",""
"Hispanic","4/22","18%","20% (7%, 46%)","","","15/21","77%","79% (60%, 90%)","","","10/20","53%","43% (17%, 74%)","",""
"Other","5/11","51%","35% (16%, 60%)","","","12/13","97%","98% (81%, 100%)","","","3/14","35%","31% (10%, 63%)","",""
"Educationation","",""," ","0.483922041879137","","",""," ","0.237163397263265","","",""," ","0.249942980933635",""
"Below High School","23/113","23%","22% (13%, 35%)","","","96/116","86%","89% (79%, 94%)","","","59/111","52%","48% (35%, 61%)","",""
"High School","18/71","28%","25% (14%, 41%)","","","67/74","91%","93% (84%, 97%)","","","41/71","59%","68% (49%, 83%)","",""
"Beyond High School","22/107","19%","16% (9%, 26%)","","","95/108","91%","94% (89%, 97%)","","","46/102","51%","51% (40%, 62%)","",""
"Marital Status Status","",""," ","0.820653339143601","","",""," ","0.153060005932171","","",""," ","0.240991781099902",""
"Married Or Living With Partner","21/102","21%","19% (11%, 32%)","","","93/101","95%","96% (87%, 99%)","","","47/97","56%","61% (48%, 73%)","",""
"Separated, Divorced, Widowed, Never Married","42/189","24%","21% (14%, 30%)","","","165/197","86%","89% (82%, 94%)","","","99/187","52%","51% (42%, 60%)","",""
"Medicaid","",""," ","0.903541847894445","","",""," ","0.3393931099362","","",""," ","0.0902783711996366",""
"Does Not Have Medicaid","48/208","23%","20% (14%, 28%)","","","184/210","91%","93% (88%, 96%)","","","102/201","55%","58% (49%, 67%)","",""
"Has Medicaid","13/71","24%","20% (12%, 32%)","","","64/76","85%","88% (73%, 96%)","","","38/70","50%","44% (32%, 57%)","",""
