"","Believe Taking One or More Medication No Longer Needed","","","","","","","","","","Willing To Deprescribe If Doctor Said Possible","","","","","","","","","","Uncomfortable Taking 5 Or More Pills","","","","","","","","",""
"Characteristic","Unweighted","Weighted","MICE Bivariate","Bivariate 95% CI","Group P-value","Group Significance","MICE Adjusted","95% CI","Group P-Value","Group Significance","Unweighted","Weighted","MICE Bivariate","Bivariate 95% CI","Group P-value","Group Significance","MICE Adjusted","95% CI","Group P-Value","Group Significance","Unweighted","Weighted","MICE Bivariate","Bivariate 95% CI","Group P-value","Group Significance","MICE Adjusted","95% CI","Group P-Value","Group Significance"
"Age","","","","","0.478799241356121","","","","0.249776976424517","","","","","","0.223548897929034","","","","0.227979044075326","","","","","","0.23297861215348","","","","0.593612163063633",""
"65 to 74","28%","30%","30%","(14%, 52%)","","","31%","(16%, 51%)","","","73%","84%","84%","(68%, 93%)","","","87%","(74%, 94%)","","","59%","64%","64%","(44%, 80%)","","","59%","(34%, 81%)","",""
"75 to 84","22%","22%","22%","(14%, 31%)","","","19%","(12%, 30%)","","","91%","93%","93%","(88%, 96%)","","","95%","(88%, 98%)","","","52%","52%","52%","(40%, 64%)","","","56%","(43%, 69%)","",""
"85 +","20%","19%","19%","(13%, 27%)","","","16%","(11%, 24%)","","","87%","88%","88%","(81%, 93%)","","","90%","(82%, 95%)","","","49%","47%","47%","(38%, 56%)","","","49%","(38%, 60%)","",""
"Sex","","","","","0.20431611751785","","","","0.238649212618495","","","","","","0.230102055014463","","","","0.127991218746107","","","","","","0.119415914394447","","","","0.108328005871987",""
"Male","22%","18%","18%","(13%, 26%)","","","17%","(10%, 25%)","","","88%","92%","92%","(85%, 96%)","","","95%","(87%, 98%)","","","43%","47%","47%","(36%, 58%)","","","47%","(34%, 59%)","",""
"Female","22%","25%","25%","(18%, 35%)","","","23%","(16%, 32%)","","","85%","87%","87%","(81%, 92%)","","","89%","(84%, 93%)","","","57%","58%","58%","(50%, 66%)","","","60%","(51%, 69%)","",""
"Race/Ethnicity","","","","","0.131958617297567","","","","0.510453467080483","","","","","","0.0035059277329245","*","","","0.0090027190689276","*","","","","","0.359144873672122","","","","0.330232933309937",""
"White, Non-Hispanic","21%","21%","21%","(15%, 29%)","","","19%","(13%, 28%)","","","92%","93%","93%","(88%, 96%)","","","95%","(89%, 97%)","","","48%","54%","54%","(46%, 62%)","","","60%","(50%, 70%)","",""
"Black, Non-Hispanic","22%","20%","19%","(11%, 29%)","","","19%","(10%, 34%)","","","78%","75%","77%","(65%, 85%)","","","82%","(70%, 90%)","","","62%","61%","62%","(49%, 73%)","","","51%","(34%, 67%)","",""
"Hispanic","18%","18%","17%","(6%, 38%)","","","20%","(7%, 46%)","","","71%","77%","78%","(62%, 89%)","","","79%","(60%, 90%)","","","50%","53%","53%","(28%, 76%)","","","43%","(17%, 74%)","",""
"Other","45%","51%","51%","(23%, 78%)","","","35%","(16%, 60%)","","","92%","97%","97%","(82%, 100%)","","","98%","(81%, 100%)","","","21%","35%","35%","(12%, 68%)","","","31%","(10%, 63%)","",""
"Education","","","","","0.598502286268202","","","","0.483922041879137","","","","","","0.326549919024733","","","","0.237163397263265","","","","","","0.635812140449477","","","","0.249942980933635",""
"Below High School","20%","23%","23%","(13%, 37%)","","","22%","(13%, 35%)","","","83%","86%","86%","(78%, 91%)","","","89%","(79%, 94%)","","","53%","52%","52%","(41%, 64%)","","","48%","(35%, 61%)","",""
"High School","25%","28%","28%","(16%, 45%)","","","25%","(14%, 41%)","","","91%","91%","91%","(80%, 96%)","","","93%","(84%, 97%)","","","58%","59%","59%","(45%, 72%)","","","68%","(49%, 83%)","",""
"Beyond High School","21%","19%","19%","(11%, 30%)","","","16%","(9%, 26%)","","","88%","91%","91%","(86%, 95%)","","","94%","(89%, 97%)","","","45%","51%","51%","(41%, 60%)","","","51%","(40%, 62%)","",""
"Marital Status","","","","","0.661309162161357","","","","0.820653339143601","","","","","","0.0256486492794725","*","","","0.153060005932171","","","","","","0.65514802687557","","","","0.240991781099902",""
"Married Or Living With Partner","21%","21%","21%","(13%, 31%)","","","19%","(11%, 32%)","","","92%","95%","95%","(89%, 98%)","","","96%","(87%, 99%)","","","48%","56%","56%","(44%, 67%)","","","61%","(48%, 73%)","",""
"Separated, Divorced, Widowed, Never Married","22%","24%","24%","(16%, 34%)","","","21%","(14%, 30%)","","","84%","86%","86%","(81%, 90%)","","","89%","(82%, 94%)","","","53%","52%","52%","(42%, 61%)","","","51%","(42%, 60%)","",""
"Medicaid","","","","","0.809960405275215","","","","0.903541847894445","","","","","","0.222542560924548","","","","0.3393931099362","","","","","","0.552493854010158","","","","0.0902783711996366",""
"Does Not Have Medicaid","23%","23%","22%","(16%, 30%)","","","20%","(14%, 28%)","","","88%","91%","91%","(86%, 94%)","","","93%","(88%, 96%)","","","51%","55%","54%","(47%, 62%)","","","58%","(49%, 67%)","",""
"Has Medicaid","18%","24%","24%","(12%, 41%)","","","20%","(12%, 32%)","","","84%","85%","85%","(72%, 92%)","","","88%","(73%, 96%)","","","54%","50%","50%","(38%, 62%)","","","44%","(32%, 57%)","",""
"Chronic Conditions","","","","","0.147203536716965","","","","0.212323025815886","","","","","","0.304868921626999","","","","0.387380236495609","","","","","","0.546165420897101","","","","0.787490986128193",""
"0-1","22%","24%","24%","(14%, 39%)","","","28%","(17%, 42%)","","","82%","85%","85%","(74%, 92%)","","","89%","(81%, 94%)","","","63%","61%","61%","(44%, 75%)","","","53%","(37%, 68%)","",""
"2-3","20%","17%","17%","(11%, 25%)","","","15%","(9%, 24%)","","","89%","91%","91%","(85%, 95%)","","","93%","(86%, 96%)","","","50%","51%","51%","(41%, 60%)","","","52%","(41%, 64%)","",""
">3","24%","29%","29%","(19%, 43%)","","","22%","(13%, 35%)","","","86%","91%","91%","(83%, 95%)","","","92%","(83%, 97%)","","","44%","50%","50%","(37%, 64%)","","","60%","(44%, 74%)","",""
"Regular Medications","","","","","0.0041632758105941","*","","","0.0044499256976577","*","","","","","0.0149601440704159","*","","","0.024353548375947","*","","","","","<0.001","*","","","<0.001","*"
"Less Than 6","15%","14%","13%","(8%, 22%)","","","12%","(6%, 20%)","","","79%","83%","83%","(74%, 89%)","","","85%","(78%, 90%)","","","78%","81%","80%","(71%, 87%)","","","80%","(71%, 87%)","",""
"6 Or More","28%","31%","31%","(22%, 41%)","","","32%","(23%, 42%)","","","92%","95%","95%","(89%, 98%)","","","95%","(89%, 98%)","","","28%","28%","28%","(21%, 37%)","","","28%","(20%, 38%)","",""
"Self-Rated Health","","","","","0.0022579056882004","*","","","0.0061803503132406","*","","","","","0.115518419739559","","","","0.100061068919358","","","","","","0.273922022635558","","","","0.858434869603207",""
"Excellent/Very Good","11%","9%","9%","(5%, 17%)","","","9%","(4%, 18%)","","","91%","95%","95%","(89%, 98%)","","","96%","(89%, 99%)","","","56%","58%","58%","(46%, 69%)","","","56%","(43%, 68%)","",""
"Good","17%","21%","20%","(11%, 35%)","","","18%","(10%, 30%)","","","83%","84%","84%","(73%, 90%)","","","88%","(80%, 93%)","","","52%","56%","56%","(45%, 67%)","","","56%","(40%, 71%)","",""
"Fair/Poor","34%","37%","37%","(27%, 49%)","","","35%","(24%, 47%)","","","87%","90%","90%","(83%, 95%)","","","90%","(82%, 95%)","","","47%","45%","45%","(33%, 58%)","","","52%","(39%, 65%)","",""
"Dementia Classification","","","","","0.269667284717006","","","","0.363486659007898","","","","","","0.892404364716306","","","","0.64684011325562","","","","","","0.315675771885412","","","","0.342799748750453",""
"Possible Dementia","24%","26%","26%","(19%, 35%)","","","23%","(16%, 32%)","","","87%","90%","90%","(83%, 94%)","","","92%","(87%, 96%)","","","49%","51%","51%","(41%, 60%)","","","52%","(42%, 61%)","",""
"Probable Dementia","18%","18%","18%","(11%, 30%)","","","17%","(11%, 27%)","","","86%","89%","89%","(84%, 93%)","","","91%","(82%, 96%)","","","54%","58%","58%","(48%, 66%)","","","59%","(47%, 70%)","",""
"Reported Dementia Diagnosis","","","","","0.88132745571645","","","","0.818508316343722","","","","","","0.335072026205137","","","","0.623905522508859","","","","","","0.799428419210985","","","","0.458044154202285",""
"No Dementia Diagnosis","22%","23%","23%","(17%, 30%)","","","21%","(15%, 28%)","","","85%","88%","88%","(83%, 92%)","","","91%","(86%, 95%)","","","53%","54%","54%","(46%, 62%)","","","53%","(45%, 61%)","",""
"Dementia Diagnosed","22%","22%","22%","(11%, 38%)","","","19%","(10%, 33%)","","","90%","93%","93%","(84%, 97%)","","","94%","(78%, 98%)","","","46%","52%","52%","(37%, 66%)","","","61%","(41%, 78%)","",""
"Hospitalized in Past Year","","","","","0.131948721600023","","","","0.313951026995178","","","","","","0.143750070916256","","","","0.435748218099429","","","","","","0.0799834432827731","","","","0.64329263009172",""
"Not Hospitalized","19%","20%","20%","(14%, 27%)","","","18%","(13%, 25%)","","","85%","87%","87%","(82%, 92%)","","","91%","(84%, 95%)","","","57%","58%","58%","(49%, 66%)","","","56%","(47%, 65%)","",""
"Hospitalized in Past Year","28%","30%","30%","(19%, 43%)","","","25%","(15%, 38%)","","","91%","94%","94%","(87%, 97%)","","","94%","(87%, 97%)","","","39%","43%","43%","(31%, 56%)","","","51%","(35%, 67%)","",""
"Seen Regular Doctor in Past Year","","","","","0.474129873410086","","","","0.831015815941137","","","","","","0.4445727102418","","","","0.645605685846112","","","","","","0.192027686920987","","","","0.691059746826585",""
"Did Not See Doctor","27%","18%","18%","(8%, 34%)","","","18%","(6%, 45%)","","","74%","84%","84%","(61%, 95%)","","","90%","(73%, 97%)","","","68%","69%","69%","(44%, 86%)","","","60%","(31%, 84%)","",""
"Seen Doctor","21%","23%","23%","(17%, 31%)","","","21%","(15%, 28%)","","","88%","90%","90%","(86%, 93%)","","","92%","(87%, 95%)","","","50%","52%","52%","(45%, 59%)","","","54%","(47%, 62%)","",""
"ADL Difficulties","","","","","0.942249676993458","","","","0.9665912714171","","","","","","0.379803287990786","","","","0.186735160274502","","","","","","0.0865879591541645","","","","0.12254449415039",""
"<2","21%","23%","23%","(16%, 31%)","","","20%","(15%, 27%)","","","87%","90%","90%","(85%, 94%)","","","93%","(89%, 96%)","","","54%","56%","56%","(48%, 64%)","","","58%","(50%, 65%)","",""
">=2","23%","22%","22%","(10%, 42%)","","","21%","(10%, 39%)","","","83%","85%","85%","(71%, 93%)","","","86%","(67%, 95%)","","","37%","38%","38%","(22%, 56%)","","","40%","(22%, 61%)","",""
