"Covariate","Unweighted Respondents, No.","National Estimate, (%)","Weighted Respondents, Dec.","Weighted Respondents, No."
"Age","","","",""
"65 to 74","44.0","24%","74.64","75"
"75 to 84","134.0","42%","130.62","131"
"85 +","133.0","34%","105.74","106"
"Sex","","","",""
"Male","123","40%","124.4","124"
"Female","188","60%","186.6","187"
"Race/Ethnicity","","","",""
"White, Non-Hispanic","176.0","69%","214.59","215"
"Black, Non-Hispanic","94.0","15%","46.65","47"
"Hispanic","22.0","7%","21.77","22"
"Other","15.0","9%","27.99","28"
"Education","","","",""
"Below High School","121.0","34%","105.74","106"
"High School","78.0","26%","80.86","81"
"Beyond High School","112.0","40%","124.4","124"
"Marital Status","","","",""
"Married Or Living With Partner","105","36%","111.96","112"
"Separated, Divorced, Widowed, Never Married","206","64%","199.04","199"
"Medicaid","","","",""
"Does Not Have Medicaid","216","75%","233.25","233"
"Has Medicaid","80","25%","77.75","78"
"Chronic Conditions","","","",""
"0-1","73","28%","87.08","87"
"2-3","140","43%","133.73","134"
">3","98","29%","90.19","90"
"Regular Medications","","","",""
"Less Than 6","144","48%","149.28","149"
"6 Or More","160","52%","161.72","162"
"Self-Rated Health","","","",""
"Excellent/Very Good","95.0","32%","99.52","100"
"Good","98.0","34%","105.74","106"
"Fair/Poor","117.0","34%","105.74","106"
"Dementia Classification","","","",""
"Possible Dementia","170","58%","180.38","180"
"Probable Dementia","141","42%","130.62","131"
"Reported Dementia Diagnosis","","","",""
"No Dementia Diagnosis","236","77%","239.47","239"
"Dementia Diagnosed","75","23%","71.53","72"
"Hospitalized in Past Year","","","",""
"Not Hospitalized","219","71%","220.81","221"
"Hospitalized in Past Year","91","29%","90.19","90"
"Seen Regular Doctor in Past Year","","","",""
"Did Not See Doctor","31","11%","34.21","34"
"Seen Doctor","280","89%","276.79","277"
"ADL Difficulties","","","",""
"<2","261","84%","261.24","261"
">=2","50","16%","49.76","50"
"Difficulty Tracking Medications","","","",""
"No Difficulty","128","49%","152.39","152"
"Difficulty","157","51%","158.61","159"
"Fall in Past Month","","","",""
"No Falls","258","85%","264.35","264"
"Fallen","53","15%","46.65","47"
