"","Characteristic","Category","Coefficient - Bivariate","SE - Bivariate","LB - Bivariate","UB - Bivariate","Coefficient - Adjusted","SE - Adjusted","LB - Adjusted","UB - Adjusted"
"1","age","65 to 74","1.0000000","1.000000","","","1.0000000","1.000000","",""
"2","age","75 to 84","0.7818674","1.524629","0.3357868"," 1.820550","0.6949673","1.492153","0.3116268"," 1.5498654"
"3","age","85 +","0.7174774","1.562279","0.2934320"," 1.754320","0.6872496","1.522925","0.2958139"," 1.5966522"
"4","sex","male","1.0000000","1.000000","","","1.0000000","1.000000","",""
"5","sex","female","1.4415347","1.344930","0.7959859"," 2.610627","1.5301334","1.386187","0.7952654"," 2.9440589"
"6","race","white, non-hispanic","1.0000000","1.000000","","","1.0000000","1.000000","",""
"7","race","black, non-hispanic","0.9384934","1.458204","0.4406889"," 1.998621","1.2217376","1.496331","0.5447717"," 2.7399418"
"8","race","hispanic","1.2920194","1.758758","0.4167400"," 4.005649","1.6218571","1.912075","0.4424500"," 5.9451251"
"9","race","other","3.5366418","1.776676","1.1178024","11.189666","2.8778206","1.639219","1.0688621"," 7.7482885"
"10","educ","below high school","1.0000000","1.000000","","","1.0000000","1.000000","",""
"11","educ","high school","0.8580751","1.519796","0.3708680"," 1.985323","0.6763513","1.558756","0.2778666"," 1.6462974"
"12","educ","beyond high school","0.4761253","1.498137","0.2117912"," 1.070371","0.3574531","1.504813","0.1575928"," 0.8107778"
"13","marital","married or living with partner","1.0000000","1.000000","","","1.0000000","1.000000","",""
"14","marital","separated, divorced, widowed, never married","1.2669617","1.381329","0.6631350"," 2.420611","1.2321188","1.463778","0.5741601"," 2.6440651"
"15","medicaid","does not have medicaid","1.0000000","1.000000","","","1.0000000","1.000000","",""
"16","medicaid","has medicaid","1.3362754","1.368358","0.7127639"," 2.505222","1.3659707","1.353209","0.7450407"," 2.5043948"
"17","chronic","0-1","1.0000000","1.000000","","","1.0000000","1.000000","",""
"18","chronic","2-3","0.8106361","1.487140","0.3659526"," 1.795672","0.7011868","1.494548","0.3134065"," 1.5687705"
"19","chronic",">3","1.0329014","1.431697","0.5031833"," 2.120272","0.7061437","1.533526","0.2997505"," 1.6635131"
"20","regularmeds","less than 6","1.0000000","1.000000","","","1.0000000","1.000000","",""
"21","regularmeds","6 or more","2.5112281","1.335230","1.4069102"," 4.482352","2.8491640","1.410455","1.4301930"," 5.6759722"
"22","health","excellent/very good","1.0000000","1.000000","","","1.0000000","1.000000","",""
"23","health","good","2.0488384","1.584390","0.8146576"," 5.152765","1.9154118","1.582004","0.7639081"," 4.8026750"
"24","health","fair/poor","3.9220894","1.501626","1.7365192"," 8.858402","4.1235061","1.581316","1.6459784","10.3302105"
"25","dementia","possible dementia","1.0000000","1.000000","","","1.0000000","1.000000","",""
"26","dementia","probable dementia","0.6998291","1.359613","0.3781134"," 1.295275","0.6918857","1.444942","0.3308925"," 1.4467109"
"27","diagnosis","no dementia diagnosis","1.0000000","1.000000","","","1.0000000","1.000000","",""
"28","diagnosis","dementia diagnosed","0.6354620","1.452995","0.3005420"," 1.343612","0.5944310","1.632052","0.2227271"," 1.5864627"
"29","proxy","sample person","1.0000000","1.000000","","","1.0000000","1.000000","",""
"30","proxy","proxy respondent","0.9647214","1.345994","0.5318559"," 1.749886","1.0875997","1.495809","0.4852989"," 2.4374114"
"31","hospitalized","not hospitalized","1.0000000","1.000000","","","1.0000000","1.000000","",""
"32","hospitalized","hospitalized","1.4795735","1.348533","0.8126215"," 2.693920","1.4445878","1.322541","0.8249627"," 2.5296098"
"33","doctor","did not see doctor","1.0000000","1.000000","","","1.0000000","1.000000","",""
"34","doctor","seen doctor","1.6541876","1.638667","0.6148028"," 4.450755","1.1735601","1.720357","0.3956538"," 3.4809303"
"35","adls","<2","1.0000000","1.000000","","","1.0000000","1.000000","",""
"36","adls",">=2","0.8757395","1.414209","0.4372589"," 1.753926","0.7954428","1.531446","0.3385767"," 1.8687912"
"37","medicationsiadl","no difficulty","1.0000000","1.000000","","","1.0000000","1.000000","",""
"38","medicationsiadl","difficulty","1.2767019","1.408215","0.6429104"," 2.535295","1.4902572","1.557037","0.6136005"," 3.6194015"
"39","fall","no falls","1.0000000","1.000000","","","1.0000000","1.000000","",""
"40","fall","fallen","1.0242173","1.407350","0.5164013"," 2.031407","1.0605546","1.433248","0.5155346"," 2.1817663"
