"","Characteristic","Category","Coefficient - Bivariate","SE - Bivariate","LB - Bivariate","UB - Bivariate","Coefficient - Adjusted","SE - Adjusted","LB - Adjusted","UB - Adjusted"
"1","age","65 to 74","1.00000000","1.000000","","","1.00000000","1.000000","",""
"2","age","75 to 84","0.69336028","1.583847","0.27588288","1.7425817","0.71882255","1.727708","0.24028150","2.1504188"
"3","age","85 +","0.65928016","1.465512","0.30649271","1.4181425","0.58027104","1.681823","0.20471856","1.6447677"
"4","sex","male","1.00000000","1.000000","","","1.00000000","1.000000","",""
"5","sex","female","1.51474171","1.308375","0.88389717","2.5958251","1.54205194","1.377116","0.81207394","2.9282114"
"6","race","white, non-hispanic","1.00000000","1.000000","","","1.00000000","1.000000","",""
"7","race","black, non-hispanic","1.71334175","1.364755","0.91873130","3.1952106","0.94447176","1.495556","0.42157641","2.1159317"
"8","race","hispanic","0.97607383","1.421544","0.48232969","1.9752467","0.82261312","1.653488","0.30026894","2.2536209"
"9","race","other","0.59808375","1.791809","0.18584628","1.9247314","0.52606384","1.773606","0.16684676","1.6586666"
"10","educ","below high school","1.00000000","1.000000","","","1.00000000","1.000000","",""
"11","educ","high school","1.43563141","1.335637","0.80381841","2.5640586","1.89316556","1.546339","0.79033916","4.5348579"
"12","educ","beyond high school","0.82053413","1.249754","0.52487522","1.2827359","0.83081260","1.331932","0.46777303","1.4756079"
"13","marital","married or living with partner","1.00000000","1.000000","","","1.00000000","1.000000","",""
"14","marital","separated, divorced, widowed, never married","0.93636842","1.373524","0.49569751","1.7687920","0.67655766","1.389697","0.34985383","1.3083472"
"15","medicaid","does not have medicaid","1.00000000","1.000000","","","1.00000000","1.000000","",""
"16","medicaid","has medicaid","0.97428273","1.283135","0.59115591","1.6057132","0.77054933","1.330134","0.43501959","1.3648725"
"17","chronic","0-1","1.00000000","1.000000","","","1.00000000","1.000000","",""
"18","chronic","2-3","0.75221143","1.414141","0.37561739","1.5063787","1.20888207","1.408198","0.60877271","2.4005607"
"19","chronic",">3","0.47819893","1.528611","0.20430033","1.1193042","1.16125682","1.540063","0.48875698","2.7590755"
"20","regularmeds","less than 6","1.00000000","1.000000","","","1.00000000","1.000000","",""
"21","regularmeds","6 or more","0.09274956","1.326559","0.05264562","0.1634035","0.09170413","1.380975","0.04802314","0.1751166"
"22","health","excellent/very good","1.00000000","1.000000","","","1.00000000","1.000000","",""
"23","health","good","0.90646923","1.390668","0.46808752","1.7554120","1.13954474","1.572612","0.45993110","2.8233842"
"24","health","fair/poor","0.60381782","1.338108","0.33683073","1.0824308","1.24173057","1.330360","0.70078959","2.2002250"
"25","dementia","possible dementia","1.00000000","1.000000","","","1.00000000","1.000000","",""
"26","dementia","probable dementia","0.99950194","1.273162","0.61601596","1.6217179","1.36653769","1.350066","0.74883192","2.4937843"
"27","diagnosis","no dementia diagnosis","1.00000000","1.000000","","","1.00000000","1.000000","",""
"28","diagnosis","dementia diagnosed","0.84458191","1.316647","0.48665374","1.4657621","1.28481530","1.566298","0.52276168","3.1577494"
"29","proxy","sample person","1.00000000","1.000000","","","1.00000000","1.000000","",""
"30","proxy","proxy respondent","0.63720995","1.318436","0.36616696","1.1088836","0.69020647","1.405057","0.34913543","1.3644704"
"31","hospitalized","not hospitalized","1.00000000","1.000000","","","1.00000000","1.000000","",""
"32","hospitalized","hospitalized","0.74855429","1.336890","0.41833250","1.3394454","1.16199646","1.405608","0.58732487","2.2989590"
"33","doctor","did not see doctor","1.00000000","1.000000","","","1.00000000","1.000000","",""
"34","doctor","seen doctor","0.42086881","1.578195","0.16866448","1.0501948","0.82046452","1.775673","0.25961219","2.5929523"
"35","adls","<2","1.00000000","1.000000","","","1.00000000","1.000000","",""
"36","adls",">=2","0.36694604","1.367459","0.19598545","0.6870377","0.34699713","1.510770","0.15177649","0.7933179"
"37","medicationsiadl","no difficulty","1.00000000","1.000000","","","1.00000000","1.000000","",""
"38","medicationsiadl","difficulty","0.34683814","1.340574","0.19276611","0.6240552","0.38424021","1.422033","0.18974277","0.7781089"
"39","fall","no falls","1.00000000","1.000000","","","1.00000000","1.000000","",""
"40","fall","fallen","0.32941456","1.326934","0.18687323","0.5806822","0.40447456","1.353624","0.22047708","0.7420258"
