"","Believe Taking One or More Medication No Longer Needed","","","","","","","","","","Willing To Deprescribe If Doctor Said Possible","","","","","","","","","","Uncomfortable Taking 5 Or More Pills","","","","","","","","",""
"Characteristic","Unweighted","Weighted","MICE Bivariate","Bivariate 95% CI","Group P-value","Group Significance","MICE Adjusted","95% CI","Group P-Value","Group Significance","Unweighted","Weighted","MICE Bivariate","Bivariate 95% CI","Group P-value","Group Significance","MICE Adjusted","95% CI","Group P-Value","Group Significance","Unweighted","Weighted","MICE Bivariate","Bivariate 95% CI","Group P-value","Group Significance","MICE Adjusted","95% CI","Group P-Value","Group Significance"
"Age","","","","","0.762305654868167","","","","0.622741492350528","","","","","","0.253922831559389","","","","0.383310380071215","","","","","","0.557718529380202","","","","0.517099855740958",""
"65 to 74","25%","27%","27%","(14%, 45%)","","","26%","(15%, 42%)","","","76%","84%","84%","(68%, 93%)","","","85%","(70%, 93%)","","","57%","58%","58%","(41%, 73%)","","","59%","(37%, 79%)","",""
"75 to 84","21%","22%","22%","(15%, 31%)","","","20%","(13%, 29%)","","","89%","91%","91%","(86%, 95%)","","","92%","(86%, 95%)","","","50%","49%","49%","(39%, 59%)","","","51%","(41%, 62%)","",""
"85 +","20%","21%","21%","(15%, 27%)","","","20%","(14%, 27%)","","","84%","85%","85%","(79%, 90%)","","","88%","(82%, 92%)","","","49%","48%","48%","(40%, 55%)","","","46%","(37%, 55%)","",""
"Sex","","","","","0.222421767919476","","","","0.198157967503838","","","","","","0.550844981979267","","","","0.43199740073999","","","","","","0.128107919791939","","","","0.181427517864701",""
"Male","22%","19%","19%","(13%, 27%)","","","17%","(11%, 25%)","","","87%","89%","89%","(81%, 94%)","","","91%","(84%, 95%)","","","44%","44%","44%","(36%, 54%)","","","45%","(34%, 56%)","",""
"Female","20%","25%","25%","(18%, 33%)","","","24%","(17%, 32%)","","","84%","86%","86%","(81%, 90%)","","","88%","(83%, 91%)","","","55%","55%","55%","(47%, 62%)","","","56%","(47%, 64%)","",""
"Race/Ethnicity","","","","","0.150165374097048","","","","0.226017181790094","","","","","","0.0308394903294538","*","","","0.101905654445629","","","","","","0.198827310050182","","","","0.679072737561921",""
"White, Non-Hispanic","19%","20%","20%","(14%, 27%)","","","18%","(12%, 26%)","","","89%","90%","90%","(85%, 93%)","","","91%","(86%, 94%)","","","46%","50%","50%","(44%, 56%)","","","53%","(45%, 61%)","",""
"Black, Non-Hispanic","21%","19%","19%","(11%, 31%)","","","21%","(13%, 33%)","","","78%","74%","76%","(65%, 84%)","","","80%","(68%, 88%)","","","64%","64%","63%","(50%, 74%)","","","52%","(35%, 68%)","",""
"Hispanic","25%","23%","24%","(10%, 49%)","","","26%","(10%, 54%)","","","81%","85%","87%","(74%, 93%)","","","87%","(74%, 94%)","","","53%","53%","49%","(32%, 66%)","","","48%","(26%, 72%)","",""
"Other","41%","48%","47%","(24%, 71%)","","","39%","(22%, 59%)","","","84%","88%","89%","(63%, 97%)","","","90%","(59%, 98%)","","","30%","37%","37%","(17%, 64%)","","","38%","(18%, 63%)","",""
"Education","","","","","0.190672372673549","","","","0.0521726955810541","","","","","","0.998263041914369","","","","0.995314310405039","","","","","","0.281710644302963","","","","0.217596029555808",""
"Below High School","25%","28%","28%","(18%, 40%)","","","29%","(20%, 41%)","","","85%","87%","87%","(81%, 91%)","","","89%","(82%, 93%)","","","53%","50%","50%","(42%, 58%)","","","49%","(39%, 59%)","",""
"High School","22%","25%","25%","(15%, 39%)","","","22%","(12%, 36%)","","","87%","87%","87%","(79%, 93%)","","","89%","(81%, 94%)","","","58%","59%","59%","(46%, 71%)","","","64%","(46%, 79%)","",""
"Beyond High School","17%","16%","16%","(9%, 25%)","","","13%","(8%, 21%)","","","85%","87%","87%","(80%, 92%)","","","89%","(83%, 93%)","","","42%","45%","45%","(38%, 53%)","","","44%","(35%, 54%)","",""
"Marital Status","","","","","0.466991321774009","","","","0.586023735381468","","","","","","0.211785234371835","","","","0.275783830874019","","","","","","0.83665515197821","","","","0.240194985469008",""
"Married Or Living With Partner","20%","20%","20%","(13%, 29%)","","","19%","(12%, 29%)","","","90%","91%","91%","(82%, 96%)","","","92%","(84%, 96%)","","","47%","51%","51%","(41%, 62%)","","","57%","(45%, 69%)","",""
"Separated, Divorced, Widowed, Never Married","22%","24%","24%","(17%, 33%)","","","22%","(15%, 31%)","","","83%","85%","85%","(80%, 89%)","","","87%","(82%, 91%)","","","52%","50%","50%","(42%, 58%)","","","48%","(39%, 56%)","",""
"Medicaid","","","","","0.359342770792565","","","","0.307039099224021","","","","","","0.947961282883239","","","","0.779223924110456","","","","","","0.917148953568222","","","","0.364877575753891",""
"Does Not Have Medicaid","21%","21%","21%","(16%, 27%)","","","20%","(14%, 26%)","","","85%","88%","87%","(82%, 91%)","","","89%","(84%, 92%)","","","49%","51%","51%","(45%, 56%)","","","53%","(46%, 60%)","",""
"Has Medicaid","21%","26%","26%","(17%, 39%)","","","25%","(17%, 36%)","","","86%","87%","87%","(77%, 93%)","","","90%","(79%, 96%)","","","55%","50%","50%","(40%, 60%)","","","47%","(35%, 59%)","",""
"Chronic Conditions","","","","","0.752732809230915","","","","0.643166175522435","","","","","","0.322862253274679","","","","0.35650524667266","","","","","","0.185269874229252","","","","0.859766587587857",""
"0-1","21%","24%","24%","(14%, 37%)","","","26%","(16%, 39%)","","","81%","82%","82%","(69%, 90%)","","","84%","(72%, 91%)","","","61%","59%","59%","(45%, 73%)","","","48%","(34%, 62%)","",""
"2-3","21%","20%","20%","(14%, 29%)","","","19%","(13%, 29%)","","","88%","89%","89%","(84%, 93%)","","","91%","(85%, 94%)","","","51%","52%","52%","(44%, 61%)","","","53%","(42%, 63%)","",""
">3","21%","24%","24%","(16%, 35%)","","","20%","(12%, 30%)","","","85%","89%","89%","(82%, 93%)","","","90%","(82%, 94%)","","","43%","41%","41%","(31%, 52%)","","","52%","(39%, 64%)","",""
"Regular Medications","","","","","0.0023854838261584","*","","","0.0035726760386563","*","","","","","0.0372201724178929","*","","","0.0368709916219869","*","","","","","<0.001","*","","","<0.001","*"
"Less Than 6","15%","14%","14%","(9%, 21%)","","","13%","(8%, 20%)","","","80%","82%","82%","(74%, 88%)","","","83%","(76%, 89%)","","","78%","81%","79%","(71%, 86%)","","","80%","(71%, 86%)","",""
"6 Or More","27%","29%","29%","(22%, 37%)","","","29%","(22%, 38%)","","","90%","91%","91%","(86%, 95%)","","","92%","(87%, 95%)","","","27%","26%","26%","(21%, 33%)","","","26%","(20%, 33%)","",""
"Self-Rated Health","","","","","0.0048115852669039","*","","","0.0118238849087969","*","","","","","0.198846997782578","","","","0.125813171697558","","","","","","0.153929623970063","","","","0.732802345245328",""
"Excellent/Very Good","12%","11%","11%","(6%, 19%)","","","10%","(5%, 19%)","","","90%","93%","93%","(86%, 97%)","","","95%","(88%, 98%)","","","53%","56%","56%","(45%, 67%)","","","48%","(37%, 59%)","",""
"Good","17%","20%","20%","(11%, 33%)","","","17%","(10%, 30%)","","","83%","85%","84%","(76%, 90%)","","","87%","(79%, 92%)","","","51%","54%","54%","(44%, 63%)","","","51%","(37%, 66%)","",""
"Fair/Poor","30%","32%","32%","(24%, 41%)","","","31%","(23%, 41%)","","","84%","86%","86%","(78%, 91%)","","","87%","(80%, 91%)","","","48%","44%","44%","(35%, 52%)","","","53%","(44%, 63%)","",""
"Dementia Classification","","","","","0.250314913529063","","","","0.321344341092839","","","","","","0.439891602528844","","","","0.860600319337087","","","","","","0.998361541329566","","","","0.302705220351074",""
"Possible Dementia","24%","26%","26%","(19%, 35%)","","","25%","(17%, 35%)","","","87%","89%","89%","(82%, 94%)","","","89%","(83%, 94%)","","","49%","50%","50%","(41%, 60%)","","","47%","(38%, 57%)","",""
"Probable Dementia","19%","20%","20%","(13%, 28%)","","","18%","(12%, 27%)","","","84%","86%","86%","(80%, 90%)","","","89%","(82%, 93%)","","","52%","50%","50%","(44%, 57%)","","","55%","(45%, 64%)","",""
"Reported Dementia Diagnosis","","","","","0.230117364025313","","","","0.292929440105962","","","","","","0.455459489263633","","","","0.609711361409722","","","","","","0.541724204754173","","","","0.578758051913734",""
"No Dementia Diagnosis","24%","25%","25%","(19%, 33%)","","","24%","(17%, 33%)","","","85%","88%","88%","(83%, 92%)","","","90%","(85%, 93%)","","","51%","52%","52%","(45%, 59%)","","","49%","(41%, 58%)","",""
"Dementia Diagnosed","17%","18%","18%","(10%, 29%)","","","16%","(8%, 29%)","","","85%","85%","85%","(76%, 91%)","","","88%","(80%, 93%)","","","49%","48%","48%","(38%, 57%)","","","55%","(38%, 71%)","",""
"Proxy Status","","","","","0.904230349865457","","","","0.835575947273313","","","","","","0.0879570002596898","","","","0.0841382829506853","","","","","","0.108778104723524","","","","0.280363313368834",""
"Sample Person","22%","23%","23%","(17%, 29%)","","","21%","(15%, 27%)","","","87%","89%","89%","(85%, 92%)","","","91%","(87%, 94%)","","","51%","53%","53%","(47%, 60%)","","","54%","(46%, 61%)","",""
"Proxy Respondent","20%","22%","22%","(14%, 33%)","","","22%","(13%, 36%)","","","82%","82%","82%","(71%, 89%)","","","82%","(70%, 91%)","","","48%","42%","42%","(32%, 53%)","","","44%","(31%, 59%)","",""
"Hospitalized in Past Year","","","","","0.195594414233039","","","","0.193717039921402","","","","","","0.246117603180744","","","","0.467355376509105","","","","","","0.322905213694931","","","","0.660957726457578",""
"Not Hospitalized","18%","20%","20%","(14%, 28%)","","","19%","(14%, 25%)","","","84%","86%","86%","(81%, 90%)","","","88%","(83%, 92%)","","","53%","53%","53%","(46%, 60%)","","","50%","(42%, 58%)","",""
"Hospitalized in Past Year","27%","27%","27%","(19%, 38%)","","","25%","(17%, 35%)","","","87%","90%","90%","(84%, 94%)","","","91%","(85%, 95%)","","","46%","46%","45%","(35%, 56%)","","","54%","(40%, 67%)","",""
"Seen Regular Doctor in Past Year","","","","","0.312623396467409","","","","0.769111357163633","","","","","","0.900725812824738","","","","0.757012726634565","","","","","","0.063122844645641","","","","0.731680287199856",""
"Did Not See Doctor","22%","15%","15%","(7%, 31%)","","","19%","(8%, 38%)","","","79%","87%","87%","(67%, 95%)","","","91%","(76%, 97%)","","","70%","69%","69%","(48%, 85%)","","","56%","(29%, 79%)","",""
"Seen Doctor","21%","23%","23%","(18%, 30%)","","","21%","(16%, 28%)","","","86%","87%","87%","(83%, 91%)","","","89%","(85%, 92%)","","","49%","49%","49%","(44%, 54%)","","","51%","(45%, 57%)","",""
"ADL Difficulties","","","","","0.703302387225581","","","","0.593464930372933","","","","","","0.214052919867188","","","","0.239105112396065","","","","","","0.002259876996566","*","","","0.0130701193223723","*"
"<2","22%","23%","23%","(17%, 30%)","","","22%","(16%, 29%)","","","86%","89%","89%","(84%, 93%)","","","91%","(87%, 93%)","","","56%","58%","58%","(50%, 65%)","","","59%","(50%, 67%)","",""
">=2","20%","21%","21%","(13%, 33%)","","","18%","(10%, 31%)","","","83%","83%","83%","(73%, 90%)","","","85%","(74%, 92%)","","","38%","33%","33%","(24%, 44%)","","","33%","(21%, 48%)","",""
"Difficulty Tracking Medications","","","","","0.47849425713603","","","","0.371517044491336","","","","","","0.544012187959553","","","","0.421132042196513","","","","","","<0.001","*","","","0.0087991277893982","*"
"No Difficulty","19%","22%","20%","(13%, 30%)","","","17%","(10%, 29%)","","","86%","91%","89%","(82%, 93%)","","","91%","(84%, 95%)","","","61%","60%","66%","(55%, 75%)","","","65%","(54%, 75%)","",""
