"","Characteristic","Category","Coefficient - Bivariate","SE - Bivariate","LB - Bivariate","UB - Bivariate","Coefficient - Adjusted","SE - Adjusted","LB - Adjusted","UB - Adjusted"
"1","age","65 to 74","1.0000000","1.000000","","","1.0000000","1.000000","",""
"2","age","75 to 84","1.9675553","1.729481","0.6563465","5.8982170","2.0156455","1.746370","0.6594201","6.1612113"
"3","age","85 +","1.1199231","1.629064","0.4211672","2.9779803","1.3051786","1.661780","0.4716621","3.6116774"
"4","sex","male","1.0000000","1.000000","","","1.0000000","1.000000","",""
"5","sex","female","0.7992127","1.452707","0.3781378","1.6891749","0.7437871","1.453434","0.3515614","1.5736063"
"6","race","white, non-hispanic","1.0000000","1.000000","","","1.0000000","1.000000","",""
"7","race","black, non-hispanic","0.3549825","1.413262","0.1774818","0.7100028","0.3864891","1.463036","0.1802847","0.8285440"
"8","race","hispanic","0.7203555","1.671577","0.2572715","2.0169825","0.6528894","1.748533","0.2130641","2.0006401"
"9","race","other","0.8674657","2.185221","0.1810874","4.1554328","0.9140622","2.630961","0.1315369","6.3519021"
"10","educ","below high school","1.0000000","1.000000","","","1.0000000","1.000000","",""
"11","educ","high school","1.0172638","1.441158","0.4890670","2.1159177","1.0386622","1.474299","0.4771130","2.2611396"
"12","educ","beyond high school","1.0187166","1.434181","0.4945518","2.0984325","1.0152418","1.460100","0.4754878","2.1677020"
"13","marital","married or living with partner","1.0000000","1.000000","","","1.0000000","1.000000","",""
"14","marital","separated, divorced, widowed, never married","0.5799154","1.539234","0.2443417","1.3763592","0.5847402","1.628172","0.2201435","1.5531737"
"15","medicaid","does not have medicaid","1.0000000","1.000000","","","1.0000000","1.000000","",""
"16","medicaid","has medicaid","0.9722930","1.535026","0.4119198","2.2949948","1.1539647","1.662527","0.4166411","3.1961195"
"17","chronic","0-1","1.0000000","1.000000","","","1.0000000","1.000000","",""
"18","chronic","2-3","1.8169211","1.522777","0.7822129","4.2203377","1.8462577","1.529823","0.7875229","4.3283408"
"19","chronic",">3","1.7524009","1.530001","0.7473140","4.1092622","1.6648168","1.658566","0.6039659","4.5890258"
"20","regularmeds","less than 6","1.0000000","1.000000","","","1.0000000","1.000000","",""
"21","regularmeds","6 or more","2.2891084","1.473845","1.0521591","4.9802516","2.3186998","1.481618","1.0545850","5.0980896"
"22","health","excellent/very good","1.0000000","1.000000","","","1.0000000","1.000000","",""
"23","health","good","0.3924499","1.695444","0.1362354","1.1305206","0.3311191","1.735376","0.1097055","0.9994011"
"24","health","fair/poor","0.4386303","1.660019","0.1588482","1.2111972","0.3318329","1.748896","0.1082455","1.0172535"
"25","dementia","possible dementia","1.0000000","1.000000","","","1.0000000","1.000000","",""
"26","dementia","probable dementia","0.7357961","1.483401","0.3338472","1.6216879","0.9262551","1.543706","0.3880061","2.2111724"
"27","diagnosis","no dementia diagnosis","1.0000000","1.000000","","","1.0000000","1.000000","",""
"28","diagnosis","dementia diagnosed","0.7518521","1.461476","0.3514651","1.6083576","0.8174195","1.480920","0.3721276","1.7955524"
"29","proxy","sample person","1.0000000","1.000000","","","1.0000000","1.000000","",""
"30","proxy","proxy respondent","0.5319684","1.438118","0.2568375","1.1018268","0.4737536","1.529147","0.2022591","1.1096776"
"31","hospitalized","not hospitalized","1.0000000","1.000000","","","1.0000000","1.000000","",""
"32","hospitalized","hospitalized","1.5241538","1.432597","0.7415652","3.1326239","1.3165555","1.456121","0.6199896","2.7957218"
"33","doctor","did not see doctor","1.0000000","1.000000","","","1.0000000","1.000000","",""
"34","doctor","seen doctor","1.0781346","1.822691","0.3237372","3.5904877","0.8403297","1.749704","0.2738658","2.5784677"
"35","adls","<2","1.0000000","1.000000","","","1.0000000","1.000000","",""
"36","adls",">=2","0.6075659","1.486471","0.2745266","1.3446288","0.6126228","1.509416","0.2684429","1.3980874"
"37","medicationsiadl","no difficulty","1.0000000","1.000000","","","1.0000000","1.000000","",""
"38","medicationsiadl","difficulty","0.7959114","1.453350","0.3762420","1.6836902","0.7068193","1.534329","0.2997225","1.6668539"
"39","fall","no falls","1.0000000","1.000000","","","1.0000000","1.000000","",""
"40","fall","fallen","0.4588228","1.586581","0.1819322","1.1571252","0.3449094","1.638757","0.1281764","0.9281154"
